student_id,age,gender,study_hours_per_day,sleep_hours,phone_usage_hours,social_media_hours,youtube_hours,gaming_hours,breaks_per_day,coffee_intake_mg,exercise_minutes,assignments_completed,attendance_percentage,stress_level,focus_score,productivity_score,final_grade
4326,24,Female,6.36,7.69,3.75,1.69,0.55,0.53,4,375 mg,90.0,11,83.43%,6,37.96,90.07,82.83
4327,23,Female,9.38,6.21,1.82,1.05,0.43,0.0,3,266 mg,60.0,16,88.43%,2,47.69,100.0,77.89
4328,23,Male,6.37,6.11,9.54,4.49,2.82,3.5,5,518 mg,39.0,11,72.14%,9,3.88,35.08,87.63
4329,19,Female,3.02,6.23,7.35,2.72,2.61,3.07,9,508 mg,30.0,7,60.34%,9,15.9,36.99,73.68
4330,23,Female,6.78,4.47,2.25,1.27,0.0,1.04,6,389 mg,47.0,14,83.11%,6,37.17,76.65,71.52
4331,30,Female,4.95,6.87,3.44,1.58,1.64,1.44,11,259 mg,48.0,12,89.47%,5,46.37,74.19,68.7
4332,22,Female,7.82,4.52,9.06,4.32,3.57,2.57,5,421 mg,18.0,13,81.15%,9,0.0,35.33,60.65
4333,24,Female,9.28,7.83,3.52,1.59,1.23,3.44,4,168 mg,49.0,17,84.93%,4,35.14,77.16,81.0
4334,20,Male,4.82,7.26,4.01,1.38,1.42,1.34,7,216 mg,60.0,8,66.67%,6,28.84,53.77,58.66
4335,30,Female,3.85,5.15,,4.0,2.92,3.38,9,427 mg,45.0,6,60.15%,8,3.66,39.4,53.56
4336,30,Female,8.07,6.83,2.02,0.66,0.0,1.05,5,148 mg,78.0,12,84.24%,3,55.99,92.26,90.39
4337,21,Other,5.84,8.02,1.61,0.98,0.0,0.56,7,251 mg,95.0,11,80.30%,4,44.27,69.19,79.54
4338,23,Female,8.51,6.72,2.66,1.38,0.8,0.0,6,342 mg,26.0,14,85.67%,6,46.39,90.66,71.58
4339,29,Female,2.05,6.06,7.19,3.14,2.81,2.66,8,312 mg,54.0,3,57.97%,7,3.16,36.17,58.68
4340,25,Male,6.15,6.29,6.87,3.41,1.54,0.0,6,293 mg,80.0,8,77.71%,7,36.0,75.05,78.61
4341,26,Other,4.18,6.63,4.17,2.38,0.84,1.38,8,310 mg,74.0,7,79.30%,7,28.49,69.87,72.37
4342,27,Other,7.83,7.96,4.03,1.84,0.34,1.83,10,223 mg,87.0,14,80.87%,4,37.18,84.67,83.79
4343,23,Male,7.68,7.43,6.4,3.24,1.55,1.45,3,302 mg,60.0,18,85.93%,4,33.4,77.62,87.3
4344,25,Female,8.95,7.64,1.55,0.65,0.56,0.74,2,161 mg,87.0,17,90.16%,3,57.71,100.0,74.04
4345,24,Male,2.76,6.89,7.41,2.9,1.87,1.92,9,327 mg,22.0,3,56.79%,9,0.0,29.55,70.74
4346,20,M,5.65,4.18,10.61,4.6,2.37,3.67,7,600 mg,0.0,12,77.57%,9,0.0,19.52,79.56
4347,23,Male,3.19,5.7,9.73,3.98,3.46,1.41,10,481 mg,24.0,4,68.37%,9,1.71,16.38,38.11
4348,28,Female,2.02,5.22,6.35,2.71,1.92,2.98,10,424 mg,37.0,4,48.71%,10,0.55,27.11,65.29
4349,20,Female,3.6,6.01,7.98,4.24,3.01,3.1,11,360 mg,38.0,6,51.13%,6,20.62,42.99,65.26
4350,27,Male,4.23,4.31,6.84,2.39,2.57,2.54,9,492 mg,0.0,6,69.70%,10,0.05,31.83,64.22
4351,18,Male,6.76,6.49,2.6,2.14,0.94,0.64,3,265 mg,39.0,12,74.94%,5,48.9,71.16,71.56
4352,25,Female,5.86,5.94,3.87,1.64,0.35,0.96,7,,42.0,16,99.45%,4,29.6,70.16,75.14
4353,19,Female,3.55,7.32,9.7,4.62,2.79,3.05,10,466 mg,56.0,4,59.19%,8,1.44,44.97,72.79
4354,25,Female,8.68,9.24,2.63,1.45,0.5,1.24,6,173 mg,107.0,12,83.09%,4,45.13,100.0,87.36
4355,26,Male,4.24,6.89,5.91,2.46,2.13,2.39,11,319 mg,61.0,8,63.69%,7,36.9,63.69,75.21
4356,21,Female,4.01,7.5,9.17,4.54,3.04,1.77,8,241 mg,62.0,9,71.61%,7,11.69,55.29,68.48
4357,21,Male,4.67,4.77,10.65,4.53,3.71,3.86,5,557 mg,29.0,8,81.18%,9,0.0,23.83,
4358,24,Female,6.76,7.49,5.4,2.22,2.45,3.68,6,273 mg,44.0,13,89.22%,5,48.87,77.16,69.09
4359,26,Female,6.73,6.4,2.89,0.56,0.2,1.98,2,286 mg,35.0,14,85.51%,5,45.03,76.01,71.89
4360,25,Female,2.93,6.31,9.35,4.48,3.02,3.51,8,347 mg,79.0,9,69.35%,6,14.29,37.74,85.84
4361,23,Female,8.65,5.85,2.32,0.68,0.38,0.99,8,184 mg,64.0,16,95.63%,6,29.04,88.84,98.39
4362,28,Female,4.73,7.34,6.8,3.33,1.41,1.71,11,390 mg,45.0,6,72.87%,8,13.49,29.52,58.43
4363,21,Female,5.9,4.41,6.12,2.32,1.26,2.66,6,490 mg,33.0,9,66.46%,9,15.48,55.31,57.94
4364,24,Male,4.6,6.98,8.34,3.54,3.41,3.15,9,402 mg,49.0,6,71.64%,9,1.09,25.99,47.97
4365,21,Female,3.13,8.69,9.66,4.03,3.44,3.16,9,347 mg,70.0,8,67.08%,7,0.0,39.04,61.94
4366,30,Male,7.43,5.51,0.0,0.55,0.91,0.0,7,383 mg,61.0,15,84.61%,4,51.93,90.36,79.34
4367,25,Female,5.2,5.05,7.04,3.22,2.02,2.32,8,426 mg,70.0,11,80.23%,6,0.26,39.99,72.82
4368,23,Female,4.18,5.91,6.73,2.66,2.13,2.05,9,334 mg,47.0,3,77.06%,9,12.62,40.2,66.41
4369,25,Female,5.42,7.34,0.22,1.11,0.0,0.0,6,256 mg,90.0,11,79.46%,4,50.73,87.92,71.06
4370,23,Male,4.65,6.86,9.61,5.11,2.06,2.37,8,388 mg,42.0,8,61.98%,7,0.0,29.11,59.81
4371,22,Male,4.85,5.65,5.83,3.26,1.94,1.42,7,362 mg,36.0,8,73.19%,7,35.53,50.76,70.25
4372,19,Male,8.16,7.82,3.04,1.44,2.39,2.47,4,257 mg,73.0,16,87.79%,4,44.63,95.22,84.45
4373,25,Other,3.02,7.18,10.1,3.31,2.13,3.51,5,331 mg,89.0,2,59.09%,7,8.75,39.97,60.42
4374,27,Female,4.68,8.72,,2.37,1.19,0.0,6,205 mg,104.0,10,79.94%,4,28.59,62.86,66.23
4375,29,Male,6.19,6.84,3.91,1.24,0.95,0.97,11,267 mg,86.0,13,64.55%,6,42.74,82.64,61.75
4376,17,Female,8.17,7.81,1.47,1.15,0.88,0.98,7,185 mg,60.0,14,85.71%,2,61.32,97.01,85.06
4377,28,Male,1.03,6.94,6.06,2.96,0.04,4.26,15,427 mg,49.0,0,49.65%,8,0.0,32.64,35.0
4378,23,Female,7.22,6.24,3.16,1.95,0.0,0.83,8,272 mg,59.0,14,85.71%,4,35.45,92.53,78.47
4379,29,Female,6.57,6.9,7.6,3.0,1.68,2.94,5,368 mg,78.0,13,87.76%,7,23.3,46.13,87.09
4380,28,Male,9.56,7.45,3.34,1.95,1.07,0.0,2,106 mg,106.0,20,100.00%,1,57.56,96.58,80.8
4381,26,Male,7.9,5.49,4.14,1.6,1.3,2.45,7,428 mg,33.0,14,87.08%,7,21.72,62.72,82.02
4382,28,Female,5.82,6.89,5.56,2.82,1.87,1.68,10,270 mg,49.0,8,66.80%,5,45.07,63.7,72.82
4383,19,Male,8.94,5.56,2.59,1.7,1.79,1.56,6,338 mg,82.0,15,94.59%,4,37.13,81.52,74.78
4384,19,Female,6.37,7.7,2.18,1.13,1.14,0.17,9,286 mg,43.0,15,84.59%,6,37.75,54.3,73.58
4385,25,Male,1.71,5.59,8.72,4.1,3.01,3.54,10,379 mg,48.0,2,62.40%,6,0.0,27.19,68.88
4386,22,Female,3.58,5.74,7.24,3.6,2.63,3.51,7,543 mg,43.0,3,72.01%,9,9.08,21.47,79.31
4387,23,Male,5.97,5.4,3.97,2.52,0.0,0.28,10,,60.0,11,75.42%,6,24.74,66.81,52.83
4388,27,Female,3.06,7.17,1.59,0.0,0.8,1.95,10,237 mg,77.0,2,64.01%,4,49.13,80.07,56.77
4389,20,Female,3.47,4.98,10.48,5.09,3.92,2.02,10,449 mg,35.0,4,53.89%,9,0.0,17.49,71.11
4390,29,Male,3.15,6.39,,2.46,1.83,1.89,11,309 mg,58.0,3,70.28%,7,10.5,47.74,82.47
4391,29,Female,8.96,7.3,2.13,0.72,0.52,3.03,6,332 mg,48.0,16,94.64%,5,31.74,67.27,91.41
4392,19,Male,1.63,5.27,8.42,4.04,2.19,3.39,10,475 mg,56.0,3,51.66%,8,0.0,25.64,43.48
4393,28,Male,5.1,7.5,9.13,3.95,2.16,0.95,10,263 mg,77.0,9,67.80%,6,18.79,47.56,83.94
4394,18,Male,1.94,6.79,8.98,4.8,2.38,3.83,10,441 mg,66.0,2,51.79%,9,0.0,32.11,71.13
4395,28,Female,6.91,5.3,2.12,0.88,0.81,0.98,8,335 mg,42.0,11,76.25%,6,44.63,83.47,59.42
4396,22,F,7.47,5.82,6.28,3.16,3.02,1.68,5,347 mg,24.0,14,92.07%,6,20.13,43.15,81.99
4397,18,Male,6.32,7.34,3.6,1.57,1.22,1.63,3,160 mg,56.0,15,87.69%,3,46.94,85.01,78.56
4398,30,Female,5.15,6.89,8.16,4.11,1.39,4.05,5,386 mg,64.0,5,71.93%,7,18.3,36.05,65.74
4399,17,Male,8.25,7.7,3.05,1.27,1.75,2.38,4,155 mg,72.0,17,96.92%,3,48.74,86.28,79.84
4400,29,Male,3.03,7.83,10.87,4.6,3.59,5.45,7,336 mg,73.0,5,58.73%,6,11.36,40.49,80.59
4401,24,Male,1.93,7.38,10.29,5.3,3.16,3.21,10,229 mg,109.0,0,50.90%,7,0.0,40.91,53.01
4402,20,Male,1.09,6.65,6.19,3.55,2.16,2.11,11,327 mg,59.0,0,54.50%,7,17.76,27.38,53.41
4403,24,Female,6.96,8.22,0.54,0.24,0.25,0.18,5,190 mg,88.0,12,76.72%,3,47.87,91.25,57.82
4404,30,Male,6.75,5.14,4.62,1.32,0.15,1.82,7,339 mg,56.0,11,80.56%,7,10.17,60.06,56.68
4405,17,Female,2.14,9.01,7.5,3.64,2.46,1.71,11,283 mg,106.0,4,60.72%,5,3.24,39.58,55.15
4406,17,Male,4.8,5.29,8.16,4.27,2.91,2.62,6,,45.0,4,58.42%,9,3.93,27.73,57.05
4407,28,Male,5.49,4.87,7.08,3.07,1.43,0.95,4,537 mg,11.0,12,78.10%,9,5.0,53.88,73.61
4408,18,Female,5.41,6.87,6.31,2.52,1.4,1.0,9,299 mg,52.0,11,82.76%,6,35.28,51.58,70.88
4409,25,Female,4.12,7.22,9.04,4.69,2.54,2.57,11,318 mg,44.0,7,60.62%,7,10.29,36.29,77.25
4410,29,Female,6.33,7.09,3.36,1.18,1.13,0.0,8,157 mg,99.0,9,78.77%,4,47.41,92.84,76.5
4411,29,Male,8.08,6.53,5.03,2.42,1.15,3.78,3,486 mg,24.0,15,95.50%,8,26.37,61.78,91.74
4412,23,Male,8.46,6.88,2.32,1.24,0.6,1.98,6,314 mg,84.0,15,93.80%,3,46.17,99.36,97.55
4413,23,Female,5.69,5.79,10.81,4.45,2.94,3.09,5,595 mg,11.0,10,69.22%,9,0.0,30.65,40.88
4414,28,Female,9.1,7.01,2.47,0.71,0.75,0.55,0,243 mg,72.0,18,98.04%,5,40.49,76.63,73.01
4415,19,Male,7.91,7.66,2.36,0.17,0.24,2.04,6,256 mg,79.0,15,82.12%,2,51.25,85.46,85.97
4416,20,Male,3.89,6.21,,5.23,3.6,2.52,9,374 mg,57.0,8,70.71%,6,3.69,45.36,66.89
4417,25,Female,5.64,7.85,,1.85,1.51,3.0,11,250 mg,70.0,5,59.94%,6,34.51,67.66,55.83
4418,23,Male,5.92,7.38,3.67,1.57,2.16,4.37,7,286 mg,69.0,13,88.80%,5,39.35,57.63,71.59
4419,26,Female,9.3,7.19,0.0,0.59,0.0,0.0,3,236 mg,86.0,19,100.00%,3,59.99,100.0,88.11
4420,17,Male,6.73,5.65,1.49,1.34,1.43,1.69,7,,35.0,10,80.51%,4,48.38,73.08,56.83
4421,24,Other,4.83,6.29,9.58,3.84,3.34,3.78,8,278 mg,66.0,10,67.34%,4,27.35,52.03,72.95
4422,17,Male,8.84,8.59,2.78,0.06,1.94,0.0,1,124 mg,87.0,20,100.00%,2,57.23,100.0,90.07
4423,22,Male,5.59,4.81,5.69,2.43,2.62,2.16,7,569 mg,0.0,10,75.41%,9,0.0,24.3,68.82
4424,20,Other,8.29,7.73,0.0,0.0,0.32,0.44,5,170 mg,80.0,14,86.94%,3,55.54,99.5,75.7
4425,19,Male,6.04,6.32,5.96,2.52,1.53,4.73,7,390 mg,52.0,11,77.96%,8,15.24,46.55,89.97
4426,22,Other,1.64,5.92,5.34,2.11,1.84,2.46,12,389 mg,46.0,0,57.97%,9,13.47,49.86,47.01
4427,20,Female,6.83,7.29,1.23,0.57,0.18,1.66,5,261 mg,55.0,12,84.32%,3,53.69,100.0,89.7
4428,27,Male,7.99,7.88,0.0,0.0,0.67,1.98,1,210 mg,18.0,16,93.62%,4,52.68,89.92,65.06
4429,25,Female,4.41,7.88,5.79,2.67,0.91,2.85,6,215 mg,73.0,9,71.01%,4,48.77,73.1,81.57
4430,29,Female,9.66,7.07,1.23,0.41,0.21,0.0,1,115 mg,94.0,17,89.83%,2,47.67,93.53,60.04
4431,23,Female,5.96,7.42,7.47,3.92,2.32,3.56,6,329 mg,57.0,15,84.90%,5,46.48,76.01,70.62
4432,26,Male,5.79,5.74,9.86,4.66,4.03,3.23,3,499 mg,6.0,12,79.59%,9,0.0,27.6,69.59
4433,20,Female,6.26,7.49,9.96,4.76,2.36,3.91,4,,74.0,11,83.84%,5,31.56,54.15,83.27
4434,22,Male,5.35,6.35,5.68,2.47,2.2,1.66,8,225 mg,41.0,8,65.61%,7,20.85,63.74,76.01
4435,21,Female,5.97,6.22,11.53,5.36,3.67,2.55,6,363 mg,37.0,11,82.35%,6,9.23,35.18,51.61
4436,30,Male,5.64,7.31,6.81,3.51,2.31,3.05,8,234 mg,60.0,9,70.32%,6,27.22,52.66,77.65
4437,19,Female,4.16,6.23,9.1,3.95,2.36,4.72,7,508 mg,33.0,8,71.40%,8,5.45,39.24,79.37
4438,19,Female,7.74,5.5,2.17,0.69,0.66,1.81,7,275 mg,75.0,14,88.30%,4,28.97,79.35,82.11
4439,28,Female,7.49,4.85,9.77,4.09,3.31,1.61,6,504 mg,25.0,12,100.00%,10,0.0,44.95,69.16
4440,28,Male,3.55,5.69,8.19,3.73,2.13,1.47,11,286 mg,78.0,5,59.19%,5,21.52,55.77,82.77
4441,21,Female,10.0,7.37,2.61,0.4,1.46,0.38,5,171 mg,76.0,18,96.79%,4,36.47,78.45,86.38
4442,24,Male,5.78,5.46,0.16,0.3,0.44,1.18,6,339 mg,38.0,12,82.48%,6,45.19,81.0,54.63
4443,22,Male,3.36,4.5,8.05,3.32,2.78,2.03,9,454 mg,50.0,4,58.76%,9,0.0,33.09,67.06
4444,18,Male,6.36,5.76,6.7,2.74,1.63,3.39,4,354 mg,50.0,12,84.22%,5,33.88,64.05,73.46
4445,25,Female,9.44,9.79,0.0,0.0,0.0,0.0,3,126 mg,85.0,18,97.29%,1,56.31,100.0,87.87
4446,29,Male,5.51,6.66,5.02,1.94,1.62,2.6,5,240 mg,64.0,13,83.71%,5,27.98,46.78,70.72
4447,22,Male,3.22,5.08,4.75,2.94,1.62,2.3,7,372 mg,23.0,1,53.86%,7,9.24,42.82,76.13
4448,19,Male,6.74,6.78,5.77,3.44,1.55,5.61,7,414 mg,64.0,15,73.92%,7,29.33,59.47,68.01
4449,24,Female,8.36,7.33,5.9,2.92,1.41,3.1,5,402 mg,62.0,16,90.43%,7,34.62,89.51,94.62
4450,23,F,9.08,7.02,4.34,2.7,1.04,3.17,3,334 mg,73.0,13,84.74%,5,37.86,83.99,82.01
4451,29,Female,2.92,8.42,9.76,3.77,3.2,6.0,7,266 mg,77.0,3,66.12%,8,1.25,19.19,70.92
4452,20,Male,3.06,4.66,4.92,3.09,1.52,1.85,6,447 mg,0.0,3,65.46%,10,10.32,33.2,60.95
4453,17,Other,2.05,6.8,8.37,4.69,1.73,3.94,10,366 mg,60.0,1,61.06%,7,0.0,23.95,70.17
4454,27,Male,4.46,7.05,8.45,4.41,3.11,3.41,6,465 mg,38.0,9,68.67%,8,12.52,28.54,87.17
4455,25,Male,6.44,7.83,4.56,1.63,2.17,2.37,3,248 mg,46.0,9,82.42%,6,42.25,65.68,77.05
4456,23,Female,7.67,6.46,9.96,4.01,2.21,2.74,5,398 mg,27.0,15,89.99%,10,1.38,28.47,72.83
4457,28,Female,5.97,6.41,2.47,0.37,0.77,0.65,5,163 mg,90.0,10,86.55%,3,56.19,98.05,73.07
4458,23,Male,4.11,5.69,6.8,3.21,3.0,2.16,6,404 mg,50.0,4,60.43%,7,23.63,44.99,71.47
4459,23,Female,8.03,5.7,4.6,2.14,0.0,3.09,3,351 mg,64.0,15,86.50%,5,23.61,61.14,80.22
4460,21,Female,4.91,7.68,9.1,3.23,3.32,4.18,9,359 mg,91.0,9,68.27%,7,15.05,56.54,69.89
4461,24,Female,6.88,6.16,2.14,0.85,0.33,0.72,5,352 mg,25.0,13,86.87%,7,36.87,56.03,65.03
4462,30,Female,5.7,5.55,6.44,3.23,1.73,2.88,8,338 mg,38.0,7,66.01%,7,22.56,68.65,69.37
4463,29,Female,6.87,7.49,4.93,2.13,1.74,2.22,7,348 mg,75.0,16,82.10%,3,48.47,78.38,57.5
4464,17,Male,4.25,5.21,5.14,2.36,2.06,3.16,9,334 mg,44.0,8,59.55%,7,22.72,59.85,71.15
4465,26,Female,6.48,8.19,2.6,0.7,0.0,2.37,6,183 mg,60.0,13,86.73%,5,48.96,77.16,78.62
4466,30,Male,7.3,7.71,5.19,2.4,1.71,0.3,5,293 mg,60.0,17,86.42%,3,43.18,73.09,62.25
4467,26,Female,6.53,6.78,1.7,0.69,0.87,0.38,4,213 mg,89.0,11,78.67%,3,44.47,100.0,64.69
4468,30,Male,1.02,4.14,8.9,4.25,3.75,2.75,7,517 mg,12.0,2,55.51%,10,0.0,23.81,62.34
4469,30,Female,5.68,5.6,8.63,4.01,1.87,4.58,13,379 mg,55.0,10,59.19%,7,0.0,45.39,70.77
4470,29,F,7.96,5.33,1.06,0.88,0.0,0.0,1,378 mg,25.0,19,88.34%,8,27.79,75.13,72.15
4471,18,Other,7.56,4.17,5.67,2.41,1.31,3.64,8,507 mg,0.0,14,82.01%,9,7.44,45.05,76.54
4472,26,Male,8.67,5.82,5.83,2.57,2.18,2.99,6,336 mg,26.0,15,91.79%,8,17.33,63.57,69.73
4473,27,Male,7.35,6.61,3.86,1.16,0.69,0.19,4,144 mg,69.0,15,76.76%,4,38.75,61.29,78.98
4474,29,Male,8.99,5.22,3.71,1.26,0.75,0.39,5,345 mg,36.0,16,90.54%,7,25.06,68.69,60.78
4475,25,Female,3.48,5.41,6.96,3.92,1.94,1.63,10,401 mg,37.0,5,57.16%,9,6.66,31.21,73.13
4476,22,Male,5.5,5.02,8.55,4.15,3.55,3.88,7,390 mg,76.0,13,85.21%,7,21.21,45.24,58.82
4477,18,Male,7.63,8.22,6.69,3.19,2.96,4.17,6,263 mg,105.0,15,78.66%,6,38.65,89.47,86.4
4478,22,Female,9.27,7.0,1.58,0.53,1.64,0.13,2,286 mg,86.0,20,99.82%,4,56.08,100.0,77.94
4479,22,Male,3.95,5.48,9.08,3.99,3.14,1.61,7,432 mg,32.0,4,56.14%,9,0.0,36.16,51.9
4480,18,Male,4.33,5.71,3.94,1.43,0.32,1.01,14,496 mg,18.0,6,61.36%,10,8.29,29.47,76.49
4481,23,Male,5.71,5.69,6.97,3.03,2.17,2.67,6,391 mg,40.0,11,77.54%,7,15.01,55.96,69.59
4482,18,Male,3.94,7.07,5.1,1.82,1.72,1.82,8,235 mg,61.0,9,60.43%,6,34.82,52.27,63.5
4483,29,Male,6.14,7.2,8.27,3.48,2.06,3.62,9,229 mg,55.0,10,75.46%,7,24.82,43.15,62.11
4484,18,Female,8.55,6.22,1.03,0.61,0.0,0.02,2,185 mg,57.0,20,100.00%,4,41.72,94.28,84.4
4485,25,Male,2.79,7.29,10.96,5.11,2.97,3.19,10,321 mg,67.0,2,56.36%,9,0.0,37.21,42.67
4486,23,Male,8.08,7.27,9.21,4.23,3.47,0.91,5,211 mg,68.0,14,87.05%,5,15.23,53.21,70.31
4487,20,Female,1.28,5.91,10.24,4.17,2.6,5.23,9,432 mg,36.0,4,57.08%,7,0.0,32.49,69.08
4488,30,Female,6.79,7.75,0.0,0.0,0.56,0.0,3,159 mg,81.0,14,83.71%,5,47.14,91.21,74.8
4489,20,Female,7.72,4.2,8.39,3.31,2.93,4.4,4,451 mg,5.0,12,83.72%,8,6.56,46.29,88.24
4490,17,Male,7.58,7.68,1.35,1.31,0.0,1.29,8,205 mg,70.0,14,88.22%,3,45.39,89.18,83.74
4491,22,Female,4.81,6.98,6.02,2.29,1.07,2.41,7,368 mg,65.0,8,65.14%,5,30.17,56.46,78.43
4492,28,M,3.28,5.21,7.12,3.49,2.55,2.13,9,490 mg,,3,49.34%,9,0.0,21.49,50.43
4493,28,Male,5.33,7.16,9.42,4.42,3.37,3.66,11,391 mg,46.0,10,74.35%,9,2.8,34.34,74.33
4494,30,Male,6.15,6.96,1.62,0.58,0.95,2.58,4,353 mg,72.0,14,66.33%,5,49.68,91.6,70.09
4495,24,Female,6.25,6.8,3.79,0.86,1.0,1.82,7,433 mg,54.0,9,81.14%,7,33.76,80.34,65.86
4496,21,Female,7.89,5.16,5.92,2.08,2.03,0.66,5,523 mg,24.0,13,88.62%,8,1.61,45.57,85.55
4497,27,Female,3.9,6.34,8.74,4.16,2.38,3.51,5,369 mg,67.0,8,74.51%,7,8.73,49.46,93.3
4498,26,Male,6.35,6.95,4.06,1.68,0.95,0.04,4,201 mg,112.0,16,93.51%,4,44.86,82.03,94.63
4499,19,Male,4.83,4.48,12.0,5.96,3.7,3.46,9,600 mg,15.0,9,63.85%,10,0.0,15.77,58.55
4500,29,Male,2.33,4.68,10.64,4.68,3.2,2.98,11,578 mg,21.0,3,52.62%,10,0.0,18.68,53.57
4501,19,Male,6.84,7.3,1.95,1.51,1.41,0.0,3,212 mg,70.0,16,82.76%,4,51.43,76.45,64.95
4502,18,Female,6.96,8.06,1.43,0.24,0.84,0.73,2,228 mg,91.0,10,87.83%,6,49.05,95.76,91.37
4503,27,Male,7.98,6.02,3.69,1.59,1.17,1.69,5,348 mg,31.0,16,85.83%,5,26.8,68.8,93.61
4504,26,Male,4.84,6.0,7.34,2.84,2.57,2.29,8,409 mg,63.0,9,71.25%,7,17.56,47.53,80.92
4505,30,Female,8.13,6.41,0.0,0.0,0.0,0.71,4,309 mg,11.0,16,99.93%,6,53.96,83.3,92.13
4506,27,Male,6.65,7.49,1.63,0.8,1.02,0.15,4,334 mg,68.0,12,78.39%,4,46.8,78.68,76.19
4507,30,Male,6.5,5.57,4.11,2.05,1.37,0.0,5,462 mg,0.0,11,83.27%,9,16.72,51.79,66.15
4508,30,Male,5.55,7.34,3.24,1.85,1.02,0.23,10,240 mg,73.0,11,74.96%,4,50.62,78.88,76.98
4509,26,M,4.27,4.35,8.6,4.76,2.72,3.23,8,487 mg,46.0,10,68.70%,10,0.0,32.8,72.82
4510,22,Female,4.49,6.39,6.51,2.93,1.86,0.0,9,328 mg,69.0,7,65.93%,8,13.1,55.51,41.14
4511,24,Male,7.03,7.07,5.22,3.43,2.36,1.67,8,185 mg,54.0,13,83.50%,5,33.9,63.52,81.58
4512,30,Female,3.03,5.63,5.54,2.72,1.08,1.03,12,324 mg,34.0,6,68.28%,9,1.3,32.61,49.5
4513,19,Female,3.37,6.11,8.48,4.05,2.39,2.83,11,364 mg,77.0,7,62.43%,7,16.92,46.29,86.49
4514,20,Female,6.67,6.09,4.7,2.37,2.58,0.94,8,244 mg,76.0,11,75.65%,8,23.84,68.39,78.77
4515,20,Female,5.18,7.26,5.81,2.81,1.86,1.76,8,275 mg,80.0,8,65.59%,6,29.29,68.38,80.38
4516,26,Male,6.82,5.9,5.13,1.58,1.35,2.64,10,403 mg,2.0,13,87.12%,9,18.83,44.09,78.54
4517,19,Male,7.58,5.5,4.25,1.9,2.41,1.31,6,429 mg,33.0,13,87.79%,10,23.19,47.18,79.7
4518,29,M,5.54,4.37,1.14,1.04,0.0,1.1,7,410 mg,14.0,10,77.44%,9,18.64,63.03,74.27
4519,24,Male,3.22,7.25,10.86,5.42,3.25,2.92,9,305 mg,97.0,8,69.75%,6,20.77,38.4,68.66
4520,25,Male,7.02,5.79,3.6,1.75,0.6,3.28,2,371 mg,25.0,13,88.99%,6,26.71,54.23,89.47
4521,20,Male,8.67,8.34,4.02,1.0,0.7,0.0,5,178 mg,78.0,15,90.72%,4,56.11,90.8,78.86
4522,22,Male,3.49,6.28,10.45,4.44,4.51,3.61,7,314 mg,27.0,6,63.11%,8,6.86,33.15,72.15
4523,28,Female,0.96,7.86,12.0,5.72,4.55,2.93,14,338 mg,64.0,0,65.09%,5,0.0,21.55,48.51
4524,20,Female,4.53,7.7,7.91,3.31,3.22,4.56,8,204 mg,61.0,7,67.73%,6,25.55,51.18,
4525,29,Female,3.39,7.24,11.88,5.54,3.78,3.62,11,442 mg,50.0,6,54.30%,9,0.3,13.89,50.11
4526,23,Female,4.41,7.22,8.07,3.46,1.87,2.58,7,387 mg,41.0,8,64.83%,6,15.6,36.91,58.22
4527,24,Female,4.89,6.1,10.92,5.34,3.39,3.75,13,397 mg,70.0,6,70.98%,8,10.38,41.66,77.48
4528,27,Female,3.26,8.45,10.2,5.45,3.48,1.28,10,373 mg,74.0,5,62.37%,8,0.0,9.51,54.18
4529,22,Male,9.22,6.68,6.19,3.43,1.41,4.1,4,174 mg,107.0,15,89.69%,3,37.43,75.08,61.72
4530,24,Female,3.67,7.83,,0.46,0.95,0.0,8,189 mg,73.0,7,69.96%,4,45.35,74.5,63.73
4531,27,Female,3.12,4.28,9.41,4.25,2.48,3.8,10,523 mg,8.0,6,62.24%,9,0.0,11.93,66.45
4532,20,Female,5.17,6.18,7.45,3.34,2.42,2.57,7,436 mg,77.0,6,74.20%,7,30.04,67.74,66.81
4533,29,Female,2.56,7.41,11.13,5.29,3.41,3.63,12,391 mg,96.0,4,70.46%,7,0.0,34.1,84.74
4534,24,Male,5.17,7.43,5.07,2.62,2.89,1.83,8,330 mg,60.0,8,60.93%,6,26.27,60.38,51.85
4535,23,Male,6.78,5.12,4.82,1.66,1.1,0.25,7,,47.0,16,79.07%,7,11.8,61.65,82.84
4536,23,Female,8.34,8.62,0.0,0.0,0.54,0.05,8,275 mg,73.0,20,83.33%,2,54.74,91.85,87.61
4537,25,Female,1.35,5.78,5.68,2.73,1.69,3.25,13,354 mg,63.0,3,56.92%,9,0.0,20.44,68.34
4538,19,Female,3.55,6.12,10.33,3.93,2.0,2.3,10,349 mg,50.0,4,70.95%,9,0.0,18.45,56.91
4539,20,Male,8.71,7.69,4.71,1.75,0.24,0.88,4,313 mg,71.0,18,91.75%,5,37.24,62.46,60.16
4540,25,Female,9.57,6.17,5.34,1.48,1.41,2.07,3,332 mg,55.0,18,90.62%,6,28.47,85.53,81.85
4541,19,Female,8.52,8.0,1.72,1.02,0.35,1.15,6,102 mg,,16,92.19%,2,69.56,100.0,71.19
4542,30,Female,8.58,7.63,2.75,1.97,1.09,0.0,3,323 mg,55.0,19,93.69%,5,41.39,74.2,65.19
